userId,text,treatment,num_useful_char,num_useful_words,useful_words
54da182eac97195d12ff5b72,多拉伸慢慢就习惯了，Keep里面搜一搜就有课程的,RI-LE-F,17.0,7.0,多拉伸 习惯 Keep 里面 搜一搜 有 课程 
54f417f03419916320da0213,仅限于查？你有没有自己试过？,RI-HE-M,7.0,4.0,限于 查 有没有 试 
54f5c2e59d3fad607286a183,的确，不过肌肉的酸痛感正好是重训后身体的回应，坚持重训的话，只会有轻微的酸痛感了而且很快就会消失。,RI-HE-F,28.0,15.0,肌肉 酸痛感 是 重训 后 身体 回应 坚持 重训 会 有 轻微 酸痛感 就会 消失 
54f99c447a157b0c0929c36b,应该拉伸,RI-HE-M,4.0,2.0,应该 拉伸 
54fa1246a1079e05609e76d5,拉伸可以很好的舒缓放松肌肉，并不能缓解酸痛哦,RI-LE-F,16.0,8.0,拉伸 可以 很好 舒缓 放松 肌肉 不能 缓解 
55012a8c58c76bef153c0182,？ 这个得看你的训练重量和你的训练强度 你要是运动新手直接来个10kg的哑铃进行手臂训练 怎么拉伸都没有用的,RI-HE-M,28.0,16.0,得 看 训练 重量 训练 强度 运动 新手 来 哑铃 进行 手臂 训练 拉伸 没有 用 
5502aa1d008d964f2a60f0f8,能,RI-LE-M,1.0,1.0,能 
5503f17a460826a735406df4,跑前运动前动态拉伸，运动后静态拉伸已有大量科学证明对缓解肌肉酸痛有帮助，但是缓解程度受运动强度，拉伸时长等很多因素影响，此外，肌肉酸痛的缓解需要一定的时间。,CU-HE-M,62.0,35.0,跑 前 运动 前 动态 拉伸 运动 后 静态 拉伸 已有 大量 科学 证明 缓解 肌肉 有 帮助 缓解 程度 受 运动 强度 拉伸 时 长 很多 因素 影响 肌肉 酸痛 缓解 需要 一定 时间 
5506c982d104a6c9311cd7a1,这看你练啥运动，怎么练～^_^ 运动后拉伸 会减少一点，但也不完全,VI-HE-M,15.0,10.0,看 练 运动 练 运动 后 拉伸 会 减少 完全 
55084830ce50fbcc291b1556,你觉得能就能 拉伸就是放松 别神话他,RI-LE-M,13.0,7.0,觉得 能 就能 拉伸 就是 放松 神话 
55164b03af66a2890cfd6aeb,适当的有氧运动可以快速减少乳酸堆积现象，能让酸痛加速消失,RI-HE-F,22.0,11.0,适当 有氧运动 可以 减少 乳酸 堆积 现象 能 让 加速 消失 
551b5d8eed487d8f2b616e7b,是有效果的，比不拉要好些,VI-LE-M,9.0,6.0,是 有效果 比 拉 要 好些 
55227469ffd3f3a33ea3c471,泡沫轴,RI-HE-M,3.0,2.0,泡沫 轴 
552a6b48449950341283cd35,拉伸舒展肌肉还是可以的，酸还是酸,VI-LE-M,10.0,6.0,拉伸 舒展 肌肉 可以 酸 酸 
552e49103d5f5a753c1f3c85,嗯嗯，其实有道理,VI-HE-F,5.0,3.0,嗯嗯 有 道理 
5536710544909aba3c2f4b71,拉伸有效果,CU-HE-M,5.0,2.0,拉伸 有效果 
5539148da499278b64595bf2,"运动前热身是为了激活能量  保护身体的各关节不会在运动中受伤
运动后的拉伸是放松运动后的神经还有肌肉 拉伸后的线条也会比不拉伸的更漂亮  
前后的放松都很重要也各有作用 我运动后会跟keep拉伸也会自己压腿压韧带 弄些手臂 脖子等拉伸
",CU-HE-F,83.0,47.0,"运动 前 热身 是 激活 能量    保护身体 关节 不会 运动 中 受伤 
运动 后 拉伸 是 放松 运动 后 神经 还有 肌肉 拉伸 后 线条 会 拉伸 前后 放松 很重要 有 作用 运动 后 会 keep 拉伸 会 压腿 压 韧带 弄 手臂 脖子 拉伸 
 "
553b93c0ea1433b9162361b8,有效果，只是不可能拉了就不痛,RI-LE-F,9.0,4.0,有效果 不可能 拉 不痛 
553e3a0447ebb67719e06618,有效啊,CU-LE-M,2.0,1.0,有效 
55406909a499278b645c6d46,所以呢然后呢与我何干,CU-LE-M,2.0,1.0,何干 
5541b452b3f3cdf576ff2b2c,"你好，才看到。
运动前拉伸和运动后拉伸是有效果的也是必要的。运动前的拉伸主要是打开身体，运动后的拉伸确实可以缓解疼痛。如果你运动后拉伸了，依然无法解决疼痛，应该就是你强度太大了，建议你可以多拉伸几分钟。多看看keep的拉伸动作。 学历与热爱运动和生活无关",CU-LE-M,86.0,46.0,"你好 看到 
 运动 前 拉伸 运动 后 拉伸 是 有效果 也是 必要 运动 前 拉伸 是 打开 身体 运动 后 拉伸 可以 缓解 运动 后 拉伸 无法 解决 应该 就是 强度 大 建议 你可以 多拉 伸 看看 keep 拉伸 动作 学历 热爱 运动 生活 无关 "
